A,329.60,277.14,220.00,164.78,110.00,82.40
A7,329.60,277.14,196.00,164.78,110.00,82.40
Am,329.60,261.58,220.00,164.78,110.00,82.40
Am7,329.60,261.58,196.00,164.78,110.00,82.40
Amaj7,329.60,277.14,207.65,164.78,110.00,82.40
Bb,349.20,293.61,233.08,130.81,110.00,82.40
B7,369.96,246.90,220.00,155.53,123.47,82.40
Bm,369.96,293.61,246.94,184.96,110.00,82.40
C,329.60,261.58,196.00,164.78,130.81,82.40
C7,329.60,261.58,233.08,164.78,130.81,82.40
Cmaj7,329.60,246.90,196.00,164.78,130.81,82.40
D,369.96,293.61,220.00,146.80,110.00,82.40
D7,369.96,261.58,220.00,146.80,110.00,82.40
Dm,349.20,293.61,220.00,146.80,110.00,82.40
Dm7,349.20,261.58,220.00,146.80,110.00,82.40
Dmaj7,369.96,277.14,220.00,146.80,110.00,82.40
E,329.60,246.90,207.65,164.78,123.47,82.40
E7,329.60,246.90,207.65,146.80,123.47,82.40
Em,329.60,246.90,196.00,164.78,123.47,82.40
Em7,329.60,293.61,196.00,164.78,123.47,82.40
F,349.20,261.58,220.00,130.81,110.00,82.40
Fmaj,329.60,261.58,220.00,130.81,110.00,82.40
G,369.96,246.90,196.00,146.80,123.47,97.991
G7,349.20,246.90,196.00,146.80,123.47,97.991
